date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:46	96410/96410	---M--	200	added ('OK')	application/javascript	etag:%22ec0b41b9a75f78cafdea0c11175b5a77%22	http://r4ds.had.co.nz/libs/leaflet-binding-1.1.0/leaflet.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/leaflet-binding-1.1.0/leaflet.js	(from http://r4ds.had.co.nz/)
23:04:46	94848/94848	---M--	200	added ('OK')	text/html	etag:%2291a3ca9b633adbafed4be494c2d08e08%22	http://r4ds.had.co.nz/workflow-basics.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/workflow-basics.html	(from http://r4ds.had.co.nz/)
23:04:48	179736/179736	---M--	200	added ('OK')	text/html	etag:%2217c53ce1a4754b931ef24c5c8b4a77e9%22	http://r4ds.had.co.nz/transform.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/transform.html	(from http://r4ds.had.co.nz/)
23:04:50	89554/89554	---M--	200	added ('OK')	text/html	etag:%227a528d97dcddacff6e4bc7110e9aec7b%22	http://r4ds.had.co.nz/workflow-scripts.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/workflow-scripts.html	(from http://r4ds.had.co.nz/)
23:04:52	141060/141060	---M--	200	added ('OK')	text/html	etag:%22f9079bc4d8627ab26cc2e88bb36a07dc%22	http://r4ds.had.co.nz/exploratory-data-analysis.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/exploratory-data-analysis.html	(from http://r4ds.had.co.nz/)
23:04:54	94551/94551	---M--	200	added ('OK')	text/html	etag:%2246c7a3c87fd0b6823f334b57289b92d1%22	http://r4ds.had.co.nz/workflow-projects.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/workflow-projects.html	(from http://r4ds.had.co.nz/)
23:04:56	87043/87043	---M--	200	added ('OK')	text/html	etag:%222af80fdb6ce2895490296810604088b9%22	http://r4ds.had.co.nz/wrangle-intro.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/wrangle-intro.html	(from http://r4ds.had.co.nz/)
23:04:58	100692/100692	---M--	200	added ('OK')	text/html	etag:%229da43c404836e25b54782df6c5484a7d%22	http://r4ds.had.co.nz/tibbles.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/tibbles.html	(from http://r4ds.had.co.nz/)
23:05:00	141299/141299	---M--	200	added ('OK')	text/html	etag:%22f91a588cefb91c576c1fa7f39a6d4094%22	http://r4ds.had.co.nz/data-import.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/data-import.html	(from http://r4ds.had.co.nz/)
23:05:02	147454/147454	---M--	200	added ('OK')	text/html	etag:%223d5c659a98bdccff62f20480aea39c21%22	http://r4ds.had.co.nz/tidy-data.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/tidy-data.html	(from http://r4ds.had.co.nz/)
23:05:04	142108/142108	---M--	200	added ('OK')	text/html	etag:%226e7212195d052e3aa9ee1980fb65d03a%22	http://r4ds.had.co.nz/relational-data.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/relational-data.html	(from http://r4ds.had.co.nz/)
23:05:06	177623/177623	---M--	200	added ('OK')	text/html	etag:%222e6eb843fea72e73c1b3f8fb624a2b73%22	http://r4ds.had.co.nz/strings.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/strings.html	(from http://r4ds.had.co.nz/)
23:05:08	114243/114243	---M--	200	added ('OK')	text/html	etag:%226223252fa2ed40f775242c16e5ab4500%22	http://r4ds.had.co.nz/factors.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/factors.html	(from http://r4ds.had.co.nz/)
23:05:10	135796/135796	---M--	200	added ('OK')	text/html	etag:%22d061a02dc3f76d0e047f03c5acd9e962%22	http://r4ds.had.co.nz/dates-and-times.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/dates-and-times.html	(from http://r4ds.had.co.nz/)
23:05:12	89970/89970	---M--	200	added ('OK')	text/html	etag:%225c1885673a7d52868f289b9d757063e4%22	http://r4ds.had.co.nz/program-intro.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/program-intro.html	(from http://r4ds.had.co.nz/)
23:05:14	102705/102705	---M--	200	added ('OK')	text/html	etag:%228b45cc098487d133644ab59fb0c8ee23%22	http://r4ds.had.co.nz/pipes.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/pipes.html	(from http://r4ds.had.co.nz/)
